initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Closure,94,4,60,11.93
RD,30,Closure,95,0,60,0.0
RD,30,Closure,95,1,60,0.0
RD,30,Closure,95,3,60,0.0
RD,30,Closure,95,4,60,0.0
RD,30,Closure,96,0,60,0.0
RD,30,Closure,96,1,60,0.46
RD,30,Closure,96,2,60,0.0
RD,30,Closure,96,3,60,0.0
RD,30,Closure,96,4,60,0.0
RD,30,Closure,97,2,60,0.0
RD,30,Closure,98,2,60,0.0
RD,30,Closure,98,3,60,2.8
RD,30,Closure,99,2,60,3.23
RD,30,Closure,99,3,60,0.0
RD,30,Closure,99,4,60,3.23
RD,30,Closure,100,0,60,0.0
RD,30,Closure,100,3,60,3.57
RD,30,Closure,101,1,60,13.64
RD,30,Closure,101,2,60,13.64
RD,30,Closure,101,3,60,13.64
RD,30,Closure,101,4,60,8.7
RD,30,Closure,102,2,60,0.0
RD,30,Closure,103,0,60,0.19
RD,30,Closure,103,2,60,4.41
RD,30,Closure,103,3,60,3.26
RD,30,Closure,103,4,60,0.57
RD,30,Closure,104,0,60,6.45
RD,30,Closure,104,1,60,3.23
RD,30,Closure,104,2,60,7.26
RD,30,Closure,104,3,60,2.42
RD,30,Closure,104,4,60,4.84
RD,30,Closure,105,0,60,0.0
RD,30,Closure,105,1,60,0.0
RD,30,Closure,105,3,60,0.0
RD,30,Closure,105,4,60,0.27
RD,30,Closure,106,0,60,4.37
RD,30,Closure,106,1,60,0.46
RD,30,Closure,106,2,60,0.46
RD,30,Closure,106,3,60,7.13
RD,30,Closure,106,4,60,0.0
RD,30,Closure,107,0,60,0.0
RD,30,Closure,107,1,60,15.71
RD,30,Closure,107,4,60,0.0
RD,30,Closure,108,0,60,0.0
RD,30,Closure,108,1,60,9.21
RD,30,Closure,108,2,60,0.0
RD,30,Closure,109,1,60,0.14
RD,30,Closure,109,3,60,0.14
RD,30,Closure,110,0,60,23.34
RD,30,Closure,110,1,60,24.19
RD,30,Closure,110,2,60,23.2
RD,30,Closure,110,3,60,19.8
RD,30,Closure,110,4,60,25.04
RD,30,Closure,111,0,60,0.0
RD,30,Closure,111,3,60,2.08
RD,30,Closure,112,0,60,0.0
RD,30,Closure,112,2,60,0.0
RD,30,Closure,113,0,60,0.92
RD,30,Closure,113,3,60,0.0
RD,30,Closure,113,4,60,3.07
RD,30,Closure,115,2,60,0.0
RD,30,Closure,116,0,60,0.0
RD,30,Closure,116,1,60,0.0
RD,30,Closure,116,4,60,0.0
RD,30,Closure,117,1,60,0.0
RD,30,Closure,117,3,60,0.0
RD,30,Closure,118,1,60,0.0
RD,30,Closure,118,2,60,0.0
RD,30,Closure,118,4,60,0.0
RD,30,Closure,119,0,60,1.45
RD,30,Closure,119,1,60,0.29
RD,30,Closure,119,2,60,0.87
RD,30,Closure,120,2,60,0.0
RD,30,Closure,120,4,60,0.0
RD,30,Closure,121,1,60,0.0
RD,30,Closure,121,4,60,0.0
RD,30,Closure,123,0,60,3.51
RD,30,Closure,123,1,60,1.03
RD,30,Closure,123,2,60,1.03
RD,30,Closure,123,3,60,0.0
